id,entry
200,2018-04-24 21-14-40 BALLASTS_ON 4 11
201,2018-04-24 21-14-40 LAMPA_ON 4 -1
202,2018-04-24 21-14-40 LAMPB_ON 4 -1
203,2018-04-24 21-14-40 LAMPC_ON 4 -1
204,2018-04-24 21-14-40 LAMPD_ON 4 -1
205,2018-04-24 21-15-07 AWAKE_OFF -1 -1
206,2018-04-24 21-15-07 BALLASTS_OFF -1 -1
207,2018-04-24 21-15-08 LAMPD_OFF -1 -1
208,2018-04-24 21-15-08 LAMPA_OFF -1 -1
209,2018-04-24 21-15-08 LAMPC_OFF -1 -1
210,2018-04-24 21-15-08 LAMPB_OFF -1 -1
211,2018-04-30 11-15-45 MAIN_OFF -1 -1
212,2018-04-30 11-15-00 POWER_OFF -1 -1
213,2018-05-02 12-02-37 POWER_ON -1 -1
214,2018-05-02 12-02-37 MAIN_ON 18402 -1
215,2018-05-02 12-02-37 PRESSURE1_ON -1 -1
216,2018-05-02 12-02-37 DOOR_ON -1 -1
217,2018-05-02 12-02-37 EXTERNAL_ON -1 -1
218,2018-05-02 12-02-37 CONNECTOR_ON -1 -1
219,2018-05-02 12-02-37 PRESSURE2_ON -1 -1
220,2018-05-02 12-02-37 RESERVE_ON -1 -1
221,2018-05-02 12-02-41 BALLASTS_ON 4 12
222,2018-05-02 12-02-41 LAMPA_ON 4 -1
223,2018-05-02 12-02-41 LAMPB_ON 4 -1
224,2018-05-02 12-02-41 LAMPC_ON 4 -1
225,2018-05-02 12-02-41 LAMPD_ON 4 -1
226,2018-05-02 12-02-42 CONNECTOR_OFF -1 -1
227,2018-05-02 12-02-42 BALLASTS_OFF -1 -1
228,2018-05-02 12-02-43 LAMPD_OFF -1 -1
229,2018-05-02 12-02-43 LAMPA_OFF -1 -1
230,2018-05-02 12-02-43 LAMPC_OFF -1 -1
231,2018-05-02 12-02-43 LAMPB_OFF -1 -1
232,2018-05-02 12-27-17 AWAKE_OFF -1 -1
233,2018-05-02 14-27-10 CONNECTOR_ON -1 -1
234,2018-05-02 14-27-14 AWAKE_ON -1 -1
235,2018-05-02 14-27-19 BALLASTS_ON 4 13
236,2018-05-02 14-27-19 LAMPA_ON 4 -1
237,2018-05-02 14-27-19 LAMPB_ON 4 -1
238,2018-05-02 14-27-19 LAMPC_ON 4 -1
239,2018-05-02 14-27-19 LAMPD_ON 4 -1
240,2018-05-02 14-27-28 AWAKE_OFF -1 -1
241,2018-05-02 14-27-28 BALLASTS_OFF -1 -1
242,2018-05-02 14-27-29 LAMPD_OFF -1 -1
243,2018-05-02 14-27-29 LAMPA_OFF -1 -1
244,2018-05-02 14-27-29 LAMPC_OFF -1 -1
245,2018-05-02 14-27-29 LAMPB_OFF -1 -1
246,2018-05-02 15-36-00 MAIN_OFF -1 -1
247,2018-05-02 15-35-00 POWER_OFF -1 -1
248,2018-05-03 17-02-39 POWER_ON -1 -1
249,2018-05-03 17-02-39 MAIN_ON 18613 -1
250,2018-05-03 17-02-39 PRESSURE1_ON -1 -1
251,2018-05-03 17-02-39 DOOR_ON -1 -1
252,2018-05-03 17-02-39 EXTERNAL_ON -1 -1
253,2018-05-03 17-02-39 CONNECTOR_ON -1 -1
254,2018-05-03 17-02-39 PRESSURE2_ON -1 -1
255,2018-05-03 17-02-39 RESERVE_ON -1 -1
256,2018-05-03 17-02-43 BALLASTS_ON 4 14
257,2018-05-03 17-02-43 LAMPA_ON 4 -1
258,2018-05-03 17-02-43 LAMPB_ON 4 -1
259,2018-05-03 17-02-43 LAMPC_ON 4 -1
260,2018-05-03 17-02-43 LAMPD_ON 4 -1
261,2018-05-03 17-02-44 AWAKE_OFF -1 -1
262,2018-05-03 17-02-44 BALLASTS_OFF -1 -1
263,2018-05-03 17-02-44 LAMPD_OFF -1 -1
264,2018-05-03 17-02-44 LAMPA_OFF -1 -1
265,2018-05-03 17-02-44 LAMPC_OFF -1 -1
266,2018-05-03 17-02-45 LAMPB_OFF -1 -1
267,2018-05-04 18-55-57 PRESSURE1_ERROR -1 -1
268,2018-05-04 20-02-10 PRESSURE2_ERROR -1 -1
269,2018-05-27 13-06-00 MAIN_OFF -1 -1
270,2018-05-27 13-06-01 MAIN_ON 52821 -1
271,2018-05-27 13-06-01 PRESSURE1_ON -1 -1
272,2018-05-27 13-06-01 DOOR_ON -1 -1
273,2018-05-27 13-06-01 EXTERNAL_ON -1 -1
274,2018-05-27 13-56-33 MAIN_OFF -1 -1
275,2018-05-27 13-56-34 MAIN_ON 52871 -1
276,2018-05-27 13-56-34 PRESSURE1_ON -1 -1
277,2018-05-27 13-56-34 DOOR_ON -1 -1
278,2018-05-27 13-56-34 EXTERNAL_ON -1 -1
279,2018-06-01 09-04-13 AWAKE_ON -1 -1
280,2018-06-01 09-04-42 AWAKE_OFF -1 -1
281,2018-06-01 09-04-45 AWAKE_ON -1 -1
282,2018-06-01 09-05-55 MAIN_OFF -1 -1
283,2018-06-01 09-05-00 POWER_OFF -1 -1
284,2018-06-01 09-06-00 POWER_ON -1 -1
285,2018-06-01 09-06-00 PRESSURE1_ERROR -1 -1
286,2018-06-01 09-06-00 PRESSURE2_ERROR -1 -1
287,2018-06-01 09-06-00 MAIN_ON 59756 -1
288,2018-06-01 09-06-00 PRESSURE1_ON -1 -1
289,2018-06-01 09-06-00 DOOR_ON -1 -1
290,2018-06-01 09-06-00 EXTERNAL_ON -1 -1
291,2018-06-01 09-06-00 CONNECTOR_ON -1 -1
292,2018-06-01 09-06-00 PRESSURE2_ON -1 -1
293,2018-06-01 09-06-00 RESERVE_ON -1 -1
294,2018-06-01 09-06-15 AWAKE_OFF -1 -1
295,2018-06-01 09-06-16 MAIN_OFF -1 -1
296,2018-06-01 09-06-19 CONNECTOR_OFF -1 -1
297,2018-06-01 09-06-20 PRESSURE2_OFF -1 -1
298,2018-06-01 09-06-21 RESERVE_OFF -1 -1
299,2018-06-01 09-06-28 CONNECTOR_ON -1 -1
300,2018-06-01 09-06-30 PRESSURE2_ON -1 -1
301,2018-06-01 09-06-32 RESERVE_ON -1 -1
302,2018-06-01 09-06-33 MAIN_ON 59756 -1
303,2018-06-01 09-06-37 PRESSURE1_ON -1 -1
304,2018-06-01 09-06-37 DOOR_ON -1 -1
305,2018-06-01 09-06-37 EXTERNAL_ON -1 -1
306,2018-06-01 09-06-39 AWAKE_ON -1 -1
307,2018-06-01 09-06-44 BALLASTS_ON 4 15
308,2018-06-01 09-06-44 LAMPA_ON 4 -1
309,2018-06-01 09-06-44 LAMPC_ON 4 -1
310,2018-06-01 09-06-44 LAMPD_ON 4 -1
311,2018-06-01 09-06-44 LAMPB_ON 4 -1
312,2018-06-01 09-07-08 AWAKE_OFF -1 -1
313,2018-06-01 09-07-08 BALLASTS_OFF -1 -1
314,2018-06-01 09-07-09 LAMPD_OFF -1 -1
315,2018-06-01 09-07-09 LAMPA_OFF -1 -1
316,2018-06-01 09-07-09 LAMPC_OFF -1 -1
317,2018-06-01 09-07-09 LAMPB_OFF -1 -1
318,2018-06-01 09-07-10 AWAKE_ON -1 -1
319,2018-06-01 09-07-15 BALLASTS_ON 5 16
320,2018-06-01 09-07-15 LAMPA_ON 5 -1
321,2018-06-01 09-07-15 LAMPB_ON 5 -1
322,2018-06-01 09-07-15 LAMPC_ON 5 -1
